2026-01-14 00:22:02 | DocProcessingActor | INFO | doc_actor.py:55 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor initialized
2026-01-14 00:22:02 | DocProcessingActor | INFO | doc_actor.py:55 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor initialized
2026-01-14 00:22:04 | DocProcessingActor | INFO | doc_actor.py:95 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-14 00:22:04 | DocProcessingActor | INFO | doc_actor.py:101 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Building FAISS index...
2026-01-14 00:22:04 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-14 00:22:04 | DocProcessingActor | INFO | doc_actor.py:95 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-14 00:22:04 | DocProcessingActor | INFO | doc_actor.py:101 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Building FAISS index...
2026-01-14 00:22:04 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-14 00:22:14 | DocProcessingActor | INFO | doc_actor.py:103 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index built successfully
2026-01-14 00:22:14 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-14 00:22:14 | DocProcessingActor | INFO | doc_actor.py:114 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-14 00:22:14 | DocProcessingActor | INFO | doc_actor.py:136 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-14 00:22:14 | DocProcessingActor | INFO | doc_actor.py:141 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index serialized: 3820152 bytes
2026-01-14 00:22:14 | DocProcessingActor | INFO | doc_actor.py:162 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-01-14 00:22:15 | DocProcessingActor | INFO | doc_actor.py:103 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index built successfully
2026-01-14 00:22:15 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-14 00:22:15 | DocProcessingActor | INFO | doc_actor.py:114 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-14 00:22:15 | DocProcessingActor | INFO | doc_actor.py:136 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-14 00:22:15 | DocProcessingActor | INFO | doc_actor.py:141 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index serialized: 6804600 bytes
2026-01-14 00:22:15 | DocProcessingActor | INFO | doc_actor.py:162 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-01-14 00:22:31 | DocProcessingActor | INFO | doc_actor.py:55 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor initialized
2026-01-14 00:22:32 | DocProcessingActor | INFO | doc_actor.py:55 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor initialized
2026-01-14 00:22:33 | DocProcessingActor | INFO | doc_actor.py:95 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-14 00:22:33 | DocProcessingActor | INFO | doc_actor.py:101 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Building FAISS index...
2026-01-14 00:22:33 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-14 00:22:34 | DocProcessingActor | INFO | doc_actor.py:95 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-14 00:22:34 | DocProcessingActor | INFO | doc_actor.py:101 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Building FAISS index...
2026-01-14 00:22:34 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-14 00:22:43 | DocProcessingActor | INFO | doc_actor.py:103 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index built successfully
2026-01-14 00:22:43 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-14 00:22:43 | DocProcessingActor | INFO | doc_actor.py:114 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-14 00:22:43 | DocProcessingActor | INFO | doc_actor.py:136 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-14 00:22:43 | DocProcessingActor | INFO | doc_actor.py:141 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index serialized: 3777144 bytes
2026-01-14 00:22:43 | DocProcessingActor | INFO | doc_actor.py:162 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-01-14 00:22:44 | DocProcessingActor | INFO | doc_actor.py:103 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index built successfully
2026-01-14 00:22:44 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-14 00:22:44 | DocProcessingActor | INFO | doc_actor.py:114 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-14 00:22:44 | DocProcessingActor | INFO | doc_actor.py:136 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-14 00:22:44 | DocProcessingActor | INFO | doc_actor.py:141 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index serialized: 6374520 bytes
2026-01-14 00:22:44 | DocProcessingActor | INFO | doc_actor.py:162 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-01-14 00:23:00 | DocProcessingActor | INFO | doc_actor.py:55 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor initialized
2026-01-14 00:23:01 | DocProcessingActor | INFO | doc_actor.py:55 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor initialized
2026-01-14 00:23:02 | DocProcessingActor | INFO | doc_actor.py:95 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-14 00:23:02 | DocProcessingActor | INFO | doc_actor.py:101 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Building FAISS index...
2026-01-14 00:23:02 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-14 00:23:03 | DocProcessingActor | INFO | doc_actor.py:95 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-14 00:23:03 | DocProcessingActor | INFO | doc_actor.py:101 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Building FAISS index...
2026-01-14 00:23:03 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-14 00:23:11 | DocProcessingActor | INFO | doc_actor.py:103 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index built successfully
2026-01-14 00:23:11 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-14 00:23:11 | DocProcessingActor | INFO | doc_actor.py:114 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-14 00:23:11 | DocProcessingActor | INFO | doc_actor.py:136 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-14 00:23:11 | DocProcessingActor | INFO | doc_actor.py:141 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index serialized: 3735672 bytes
2026-01-14 00:23:11 | DocProcessingActor | INFO | doc_actor.py:162 | [exp1-fiqa-rag-colab_22:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-01-14 00:23:13 | DocProcessingActor | INFO | doc_actor.py:103 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index built successfully
2026-01-14 00:23:13 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-14 00:23:13 | DocProcessingActor | INFO | doc_actor.py:114 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-14 00:23:13 | DocProcessingActor | INFO | doc_actor.py:136 | [exp1-fiqa-rag-colab_22:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-14 00:23:13 | DocProcessingActor | INFO | doc_actor.py:141 | [exp1-fiqa-rag-colab_22:DocProcessingActor] FAISS index serialized: 6008952 bytes
